[13.06.2017 | 21:25:53] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   xD
[13.06.2017 | 21:25:58] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   meinst du mich xD?
[13.06.2017 | 21:26:17] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   jup. muss jz bin später wieder da
[13.06.2017 | 21:26:29] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   Kay xD
[13.06.2017 | 21:28:29] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   @AveronTV hab zwar keine ahnung was du bestimmtes willst aber ich könnte es versuchen xD
[13.06.2017 | 21:28:57] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @AveronTV [170815084271108096] :   es ging um mein YouTube kanal
[13.06.2017 | 21:29:31] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   xD
[13.06.2017 | 21:29:59] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   Hast du ne ordentliche ausrüstung so als nebenbei frage? D
[13.06.2017 | 21:30:20] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @AveronTV [170815084271108096] :   Ausrüstung ?
[13.06.2017 | 21:30:52] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   Mircofon,Pc sowas halt xD
[13.06.2017 | 21:30:58] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @AveronTV [170815084271108096] :   Ja
[13.06.2017 | 21:32:07] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   Ich warte noch ein paar jahre bevor ich mit YT anfange xD
[13.06.2017 | 21:32:29] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @AveronTV [170815084271108096] :   xD
[13.06.2017 | 21:33:43] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @The Brandy [286521349025955840] :   Allerdings mach ich YT mit nem Kollegen von mir xD
[13.06.2017 | 21:51:40] D?RK DEVS   -   Developer Community Server [307084334198816769] || support [307088595099975680] @Rise Of Chaos [209686482900746242] :   @Lord Nightcore that didnt work
[13.06.2017 | 22:06:23] D?RK DEVS   -   Developer Community Server [307084334198816769] || support [307088595099975680] @Lord Nightcore [315499915851857922] :   sorry then but i cant help then. ?
[13.06.2017 | 22:33:04] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Alala [277179540764360714] :   weiss jemand warum mein dicord bot keine commands nehmen tut ? ?
[13.06.2017 | 22:36:04] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   was falsches programmiert oder zeichenfehler?
[13.06.2017 | 22:39:18] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Alala [277179540764360714] :   Nope habe alles so gemacht wie in der youtube reihe es gesagt wurde aber er will es nicht machen :/ der command sieht er aber nimmt ihn nicht
[13.06.2017 | 22:39:48] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   welchen willst du denn machen?
[13.06.2017 | 22:40:19] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Alala [277179540764360714] :   einfach das er grade den ping command nimmt das geht nicht
[13.06.2017 | 22:41:00] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Alala [277179540764360714] :   ich lade es mal auf pastebin und send es dir pribvat
